S-84,Triveni Road,"Yeshwanthpura Circle 
(C.V. Raman Road)",BEL Road,"M.S. Ramaiah College, Devasandra
Circle",4,ORR -4
S-85,80ft Road,New BEL Road,D.Rajgopal Road,"Jaladarshini Layout - RMV 2nd 
Stage- Aswathnagara",2,ORR -2
S-86,B.Narayanaswamappa Road,"Yeshwanthpura Circle 
(C.V. Raman Road)","M.S. Ramaiah Main 
Road",Yeshwanthpura,2,ORR -2
S-87,13th Cross Road (Sadashivanagara),C.V. Raman Road,Chowdaiah Road,Sadashivanagara,2,ORR -2
S-88,8th Main Road (Sadashivanagara),Sankey Tank,Chowdaiah Road,Sadashivanagara,2,ORR -2
S-89,2nd Main Road (Rajmahal - Guttahalli),Chowdaiah Road,Lingaiah Road,Guttahally Main Road,2,ORR -2
S-90,Lingaiah Road,Hare Krishna Road,Chowdaiah Road,Guttahalli Main Road,3,ORR -3
S-91,"Railway Line Parallel Road (Kumara Park 
West)",Nehru Circle Junction,"Mount Carmel College 
Under bridge",Kumara Park,3,ORR -3
S-92,Kumara Krupa Road,Race Course Road,"Chowdaiah Road 
(Windsor Manner 
Bridge)","Hare Krishna Road- Shivananda 
Circle",2,ORR -2
S-93,Guttahalli Main Road - V.S. Raju Road,Link Road,"Chowdaiah Road At 
Palace",Vinayaka Circle,2,ORR -2
S-94,Link Road,Sampige Road,Lingaiah Road,Malleshwaram,2,ORR -2
S-95,Harekrishna Road,Race Course Road,"Railway Line Parallel 
Road",Hare Krishna Road,2,ORR -2
S-96,Subedhar Chatram Road,Rajiv Gandhi Statue,K.G. Road,"Swastik Circle - Kino Talkies - 
Anandarao Circle - Kapali Talkies",3,ORR -3
S-97,Sampige Road,"T-Junction on Vatal 
Nagaraj Road (Link 
Road)","Chowdaiah Road 
(Sankey Tank)","Platform Road - Venkataranga 
Iyengar Road",4,ORR -4
S-98,Margosa Road,Maramma Circle,C.V.Raman Circle,Malleshwaram,3,ORR -3
S-99,"18th Cross (Malleshwaram) (Chitrashilpi 
Venkatappa Road)",Railway Line,Chowdaiah Road,18th Cross Malleshwaram,2,ORR -2
S-100,8th Main Road (Malleshwaram),"Yeshwanthpura Police 
Station","Sampige Road Near 
Sampige Theatre",Malleshwaram,5,ORR -5
S-101,Rajarathnam Road,Dr. Rajkumar Road,Sampige Road,"Sankey Tank - 17th Cross 
Malleshwaram",3,ORR -3
S-102,"1st Main - 5th Main Road (Malleshwaram) 
(Railway Parallel Road)","8th Main Road Railway 
bridge (Railway Parallel 
Road) (Old Tumkur 
Road)",Sampige Road,"Subramanya Nagara -
Malleshwaram",4,ORR -4
S-103,"10th Cross Road- 23rd Cross Road- 
Ta.Ra.Su. Road",Chord Road,"Mahakavi Kuvempu 
Road",Subramanya Nagara,3,ORR -3
S-104,"19th & 18th Main Road Rajajinagara 2nd 
Block",10th Cross (Rajajinagara),"32nd Cross 
(Rajajinagara)","19th & 18th Main Road Rajajinagar
2nd Stage",2,ORR -2
S-105,17th Main Road (Rajajinagar 3rd Block),"Mahakavi Kuvempu 
Road",51th Cross Road,Rajajinagara 3rd Block,2,ORR -2
S-106,12th Main Road (Rajajinagara),Dr. Rajkumar Road,"Mahakavi Kuvempu 
Road",Rajajinagara,4,ORR -4
S-107,ESI Hospital Road (Rajajinagara),Chord Road,Dr. Rajkumar Road,ESI Hospital - Rajajinagara,1,ORR -1
S-108,"Kranthi Kavi Sarvajna Road (5th Main 
Road)","Vatal Nagaru Road 
(Okalipuram)","5th Cross 
Malleshwaram 
(Mahakavi Kuvempu 
Road)","5th Main (Srirampura)- Ambedkar 
Nagara- Sunrise Arunachalam 
Circle- Naidunagara- 5th Cross 
Malleshwaram",2,ORR -2
S-109,Dhanavanthri Road,Sampige Road @ KSSCB,"Tank Bund Road @ 
K.G. Road",KSRTC Bus Stand,2,ORR -2
S-110,Sheshadri Road,Khoday's Circle,K.R. Circle,"Anandarao Circle, Sheshadri Road",3,ORR -3
S-111,Park House Road,Palace Road,"Basaveshwara Circle &
Ambedkar Street","Udyoga Soudha - Vidhana Souda - 
MS Building",2,ORR -2
S-112,1st Cross- 2nd Cross Road (Majestic Area),Dhanavantri Road,Palace Road,"Subedhar chatram Road - 
Hanumanthappa Road",2,ORR -2
S-113,BVK Iyengar Road - Kalidasa Road,Mysore  Road,Sheshadri Road,Abhinava theatre- Sagar theatre,3,ORR -3
S-114,Post Office Road,K.G. Road,K.R. Circle,GAS College -UVCE,1,ORR -1
S-115,Nrupathunga - Ambedkar Road,Hudson Circle (BBMP),G.P.O,"RBI - M.S Building- Vidhana 
Soudha",3,ORR -3
S-116,Cubbon Park Road,"K.R. Circle - 
Siddalingaiah Circle 
(Kasturaba  Road)",Hudson Circle,"Cubbon Park- Sheshadri lyer 
Memorial Hall (Central Library)",4,ORR -4
S-117,Lavellie Road,"Rajaram Mohan Roy 
Road - General 
Thimmaiah Road 
Junction",M.G. Road,Nahar Heritage,3,ORR -3
S-118,Vittala Malya Road (Grant Road),"Siddalingaiah Circle 
(Kastura ba Road)","St. Marks Road 
(Bishop Cotton Girls 
High School)",D'souza Layout,1,ORR -1
S-119,Museum Road,"St. Marks Road 
(Childrens Park)",Brigade Road,"St. Joseph Evening College Sir. 
Mirza Ismail Nagar (Richmond 
Town)",1,ORR -1
S-120,Commissionoriate Road,M.G. Road,"D'Souza Circle 
(Richmond Road)",Football Stadium,1,ORR -1
S-121,Rahman Khan Road,Shankar Mutt Road,NH-4,"Nandini Layout - Mahalakshmi 
Layout",4,ORR -4
S-122,"Nandini Layout- Suraswathipuram (1st 
Main Road- 12th Cross Road)",Pipeline Road,Chord Road,"Mahalakshmi Layout- Nandini 
layout- Maruthi Mandira, 
Kurubarahalli- Saraswathipuram",5,ORR -5
S-123,5th Main Road (Basavehswara Nagar),"1st Main Road 
(Rajajinagara)",West of Chord Road,Basaveshwaranagara,2,ORR -2
S-124,"Kamalanagara- Shaktiganapathi Nagar 
Road",Ring Road,"1st Cross Road  (West 
of Chord Road)",Basaveshwaranagara,3,ORR -3
S-125,"Patalamma Street- 1st Main Road 
(Rajajinagara)",Magadi Road,Chord Road,Havanur Circle,4,ORR -4
S-126,9th Cross Road (Rajajinagara),"1st Main Road 
(Rajajinagara)",Magadi Road,Rajajinagara Industrial Town,1,ORR -1
