Ward_No,Ward Name,BBMP Zone No,BBMP Zone Name,Assembly constituency No,Assembly constituency name, MP Constituency ,Population 2011,Area (sq km),Households # (Census 2011),# Buildings > G+3,Road length (kms),DWCC #,Lakes #,Lake area (sq m),Parks #,Park area (sq m),Playgrounds #,Playground area (sq m),Govt Schools #,Police stations #,Fire stations #,Bus stops #,BMTC TTMC #,Street lights #,BWSSB service stn,BWSSB sub div,BWSSB divn,BESCOM sub divn,BESCOM divn,Police stn,BBMP Division,BBMP Sub Division,2011 HHs with Tubewells (%age),2011 HHs with Piped sewer(%),2011 HHs with tap water (%age), Population density 2011  (persons per sq km) ,Decadal popn growth rate % 2011/2001,Decadal HHs growth rate 2011/2001 %,Lake name,Bus routes #
60,Sagayara Puram,7,East,159,Pulakeshi Nagar (SC),Bangalore North,35334,0.8,7340,203,26,1,0,0,2,10828.66,4,26207,3,0,0,16,0,1017,"Coles Park, HGR, Frazer Town, Machalibetta, Jayamahal",Frazer Town,CENTRAL,"E1,E5",Additional East,,Pulikeshi Nagar,K.G. Halli,4.2,89.3,83.2,"45,792",1.30%,16.80%,,113
61,SK Garden,7,East,159,Pulakeshi Nagar (SC),Bangalore North,38050,1.3,7941,151,26,1,0,0,4,7971.2,1,5465,4,1,0,5,0,803,"Pillana Garden-1, Pillana Garden-2,  HBR, Jakkur, RT Nagar","Frazer Town,R T Nagar","CENTRAL, NORTH-EAST","C5,E1","Additional Central,Additional East",DJ Halli,Pulikeshi Nagar,Pulikeshi Nagar,8.2,90,86.3,"29,129",12.10%,26.50%,,72
62,Ramaswamy Palya,7,East,162,Shivaji Nagar,Bangalore Central,34394,0.8,7530,238,24,1,0,0,4,79966.23,0,0,5,1,0,3,0,1418,"Pillana Garden-2, HBR, HRBR, Lingarajpur , Jakkur","Frazer Town,R T Nagar,Malleshwaram","CENTRAL, NORTH-EAST",E1,Additional East,JC Nagar,Shivaji Nagar,Vasanth Nagar,2.6,88.7,81.9,"41,334",6.20%,14.50%,,11
63,Jaya Mahal,7,East,162,Shivaji Nagar,Bangalore Central,21728,1.4,4808,377,34,1,0,0,12,159743.29,0,0,2,0,0,36,0,2728,"OMBR, Banaswadi, HRBR ","HGR,Frazer Town,Malleshwaram","CENTRAL, NORTH-EAST","E1,E2,W4","Additional East,West",,Shivaji Nagar,Vasanth Nagar,2.3,91.8,92.9,"14,986",-9.70%,4.20%,,275
64,Raj Mahal Guttahalli,5,West,157,Malleshwaram,Bangalore North,31118,0.7,7641,320,24,0,0,0,8,12855.25,2,10927,2,1,0,7,0,1951,"Machalibetta, Banaswadi, Lingarajpura ",Malleshwaram,NORTH-EAST,C2,Central,Vyallkaval,Malleshwaram,Malleshwaram,0.6,98.9,95,"43,530",-8.40%,-1.00%,,134
65,Kadu Malleshwar Ward,5,West,157,Malleshwaram,Bangalore North,35609,1.4,9823,834,32,1,0,0,9,37858.9,3,22652,6,1,0,19,0,1278,"Pillana Garden-2, HBR, Banaswadi, HRBR, Lingarajpura","Malleshwaram,Rajaji Nagar","NORTH-WEST, NORTH-EAST","C1,C2",Central,Malleshwaram,Malleshwaram,Malleshwaram,5,98,92.2,"26,086",4.60%,15.70%,,278
66,Subramanya Nagar,5,West,157,Malleshwaram,Bangalore North,35709,0.9,9383,453,28,1,0,0,6,26920.05,1,18968,2,1,0,12,0,1983,"Pillana Garden-1, Pillana Garden-2, HBR ","Malleshwaram,Rajaji Nagar","NORTH-WEST, NORTH-EAST","C1,N1,N7","Additional North,North,Central",Subramanya Nagar,Malleshwaram,Malleshwaram,2.3,99.6,95.8,"37,919",2.40%,10.00%,,114
67,Nagapura,5,West,156,Mahalakshmi Layout,Bangalore North,34574,1.8,8667,628,47,1,0,0,25,63498.46,3,15374,1,0,0,30,0,2535,"Pillana Garden-2,Machalibetta,  Lingarajpura","Malleshwaram,Basaveshwara Nagar,Rajaji Nagar","NORTH-WEST, NORTH-EAST","C1,N1,N7","Additional North,North,Central",,Mahalakshmi Layout,Naagapura,1.5,99.4,96.1,"19,260",-2.80%,6.90%,,137
68,Mahalakshmipuram,5,West,156,Mahalakshmi Layout,Bangalore North,44615,0.9,11563,827,33,1,0,0,10,28541.61,1,2197,3,1,0,7,0,2380,"Frazer Town, Pillana Garden-2, Machalibetta, Lingarajpura, HAL 2nd Stage ",Rajaji Nagar,NORTH-WEST,N7,Additional North,Mahalakshmi Layout,Mahalakshmi Layout,Mahalakshmi Layout,3.3,96.6,94.6,"47,275",24.00%,33.00%,,43
69,Laggere,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,57077,1.6,15178,410,55,0,0,0,0,0,6,11766,2,0,0,11,0,3579,"Domlur, JB Nagar","Rajaji Nagar,Peenya",NORTH-WEST,"N4,N7",Additional North,,Rajarajeshwari Nagar,Laggere,28.2,80.8,32,"36,245",125.00%,137.40%,,39
70,Rajagopal Nagar,3,Dasarahalli,155,Dasarahalli,Bangalore North,61479,2.2,17262,282,67,0,0,0,2,4476.28,1,3110,4,1,0,5,0,2210,"Machalibetta, OMBR, Banaswadi, A.Narayanapura, HAL 2nd Stage, Sadananda Nagara, C.V.Raman Nagar",Peenya,NORTH-WEST,"N4,N6","North,Additional North",Rajagopal Nagar,Hegganahalli,Hegganahalli,39.7,63.9,31.2,"28,249",114.90%,134.50%,,56
71,Hegganahalli,3,Dasarahalli,155,Dasarahalli,Bangalore North,66314,1.8,18438,397,56,0,0,0,2,2943.19,1,6508,6,0,0,13,0,1895,"Vignana Nagar,A.Narayanapura,  Sadananda Nagara, C.V.Raman  Nagar, JB Nagar","Peenya,Nagarabhavi (Ring Road)","NORTH-WEST, WEST","N4,N6","Additional North,North",,Hegganahalli,Hegganahalli,21,39.3,28.6,"37,639",114.70%,133.00%,,167
72,Herohalli,4,Rajarajeshwari,153,Yeshwantpura,Bangalore North,62272,7.8,16215,365,184,1,3,362593,27,110037.05,4,24500,4,0,0,59,1,3561,"Vignana Nagar, HAL Airport, HAL 2nd Stage, Sadananda Nagara, C.V.Raman Nagar, JB Nagar","Peenya,Nagarabhavi (Ring Road)","NORTH-WEST, WEST","N2,N6",North,,Kengeri,Herohalli,28.2,7.6,34.5,"8,035",216.60%,240.00%,"Mallathahalli,Vishwanedum,Herohalli",146
73,Kottegepalya,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,68922,5.8,17739,650,139,2,1,12508,22,64783.08,3,9000,1,0,0,61,1,5009,"Coles Park, Frazer Town, Machalibetta, Ulsoor HAL 2nd Stage, Sadananda Nagara, JB Nagar","Basaveshwara Nagar,Peenya,Nagarabhavi (Ring Road)","NORTH-WEST, WEST","N2,N3,N4,N6,N7","North,Additional North",,Rajarajeshwari Nagar,Laggere,20.3,58.3,64.7,"11,784",136.80%,148.70%,Nagarabhavi,246
74,Shakthi Ganapathi Nagar,5,West,156,Mahalakshmi Layout,Bangalore North,43844,0.7,11074,482,28,0,1,35048,4,14165.96,1,744,3,0,0,11,0,1174,"Ulsoor, Indiranagara, HAL 2nd Stage, JB Nagar","Basaveshwara Nagar,Peenya",NORTH-WEST,"N3,N4","Additional North,North",,Mahalakshmi Layout,Mahalakshmi Layout,1,99.2,98,"62,558",27.00%,37.40%,Shivanahalli (Agrahara Dasarahalli),31
75,Shankar Matt,5,West,156,Mahalakshmi Layout,Bangalore North,48734,1.1,12433,504,40,1,0,0,16,34953.63,1,499,1,0,0,8,0,2119,"Domlur, Indiranagara, HAL 2nd Stage, JB Nagar","Basaveshwara Nagar,Rajaji Nagar,Peenya",NORTH-WEST,"N3,N4,N7","Additional North,North",,Mahalakshmi Layout,Naagapura,1.7,97.3,96,"44,963",36.60%,48.60%,,34
76,Gayithri Nagar,5,West,157,Malleshwaram,Bangalore North,33236,0.6,8489,431,28,1,0,0,3,16947.71,1,1335,0,0,0,9,0,1457,"Sudhama Nagar, LLR, Bannapa Park, CLB-1, Coles Park, HGR, Johnson Market, Ulsoor ","Malleshwaram,Rajaji Nagar","NORTH-WEST, NORTH-EAST","C1,N1","Central,North",,Malleshwaram,Malleshwaram,0.9,98.9,97.4,"51,465",-6.10%,0.90%,,64
77,Dattatreya Temple Ward,5,West,164,Gandhi Nagar,Bangalore Central,33388,0.7,8325,461,25,2,0,0,2,2370.79,1,2957,2,1,0,5,0,1854,"Frazer Town, Jayamahal, Gangena Halli  ",Malleshwaram,NORTH-EAST,C2,Central,Malleshwaram,Gandhi Nagar,Gandhi Nagar,2.3,96.2,94.3,"46,485",-2.50%,4.40%,,261
78,Pulakeshi Nagar,7,East,159,Pulakeshi Nagar (SC),Bangalore North,28835,1.7,6595,676,41,0,0,0,11,64726.89,5,35789,3,0,0,31,0,2278,"HGR, Frazer Town, Jayamahal","HGR,Frazer Town,Malleshwaram","CENTRAL, NORTH-EAST","E1,E2,E3,E5","East,Additional East",,Pulikeshi Nagar,Pulikeshi Nagar,2.3,97.1,93.2,"16,761",2.40%,13.00%,,152
79,Sarvagna Nagar,7,East,161,C.V. Ramannagar (SC),Bangalore Central,37291,3.6,9052,231,52,1,1,58784,7,40254.93,1,1058,4,1,0,16,0,1008,"Coles Park, Ulsoor, CLR, HAL 2nd Stage","HGR,Frazer Town,Ulsoor,Indiranagara","CENTRAL, SOUTH EAST","E1,E3,E5,E6,E7","Additional East,East",Frazer Town,C.V.Raman Nagar,C.V.Raman Nagar,7.7,80.6,80.8,"10,218",6.70%,17.10%,Kadirena Palya (Binnamangala),234
80,Hoysala Nagar,7,East,161,C.V. Ramannagar (SC),Bangalore Central,35228,2.1,8877,664,51,1,0,0,17,67642.01,4,32099,0,1,0,19,1,2955,"Coles Park, HGR ","Ulsoor,Indiranagara",SOUTH EAST,"E3,E5,E6","Additional East,East",Indira Nagar,C.V.Raman Nagar,Jeevanbheema Nagar,3,95.3,95.1,"17,131",-1.80%,11.60%,,264
81,Vijnana Nagar,2,Mahadevapura,151,K.R. Puram,Bangalore North,57062,5.7,15419,1315,106,1,2,246964,4,9079.55,1,2315,3,0,0,17,0,2261,"Coles Park, HGR","A.Narayanapura,AECS Layout,Indiranagara","EAST, SOUTH EAST","E4,E7,S7","Additional South,East",,K.R.Puram,HAL. Airport,50.7,47.5,27.6,"9,935",130.50%,165.30%,"Vibhuthipura,Mahadevapura",64
82,Garudachar palya,2,Mahadevapura,174,Mahadevapura,Bangalore Central,49631,6.8,13453,1019,70,1,4,193053,4,17193.93,0,0,6,0,0,23,1,3663,"LLR, HGR, Jayamahal, Kumara Park","K R Puram,A.Narayanapura,AECS Layout",EAST,E4,East,,Mahadevapura,Hoodi,28.3,22.2,28.9,"7,316",137.20%,154.90%,"Pattandur agrahara Kere - 124,Garudacharpalya ( Gopala),Hoodi (Giddanakere),Garudacharpalya ( Achanakere)",165
83,Kadugodi,2,Mahadevapura,174,Mahadevapura,Bangalore Central,43942,11.2,11423,604,101,1,1,40073,5,43598.85,0,0,7,2,0,29,1,3377,"Sudhama Nagar , LLR, Coles Park, HGR, Johnson Market, Ulsoor, CLR",AECS Layout,EAST,E4,East,Kadugodi,Mahadevapura,White Field,31.6,23.2,49.8,"3,934",97.90%,122.80%,Pattandur agrahara Kere - 54,186
84,Hagadur,2,Mahadevapura,174,Mahadevapura,Bangalore Central,50556,12.6,13419,1022,154,1,3,250263,18,66851.51,3,10654,2,2,0,33,0,2845,"Domlur, Ulsoor, CLR, Indiranagara",AECS Layout,EAST,"E4,S7","Additional South,East",Whitefield,Mahadevapura,White Field,26.4,29.3,54.2,"4,003",95.10%,124.10%,"Siddapura,Sheelavanthana Kere,Nallurahalli",108
85,Dodda Nekkundi,2,Mahadevapura,174,Mahadevapura,Bangalore Central,63083,12,17755,1529,155,1,5,695188,28,75082.02,3,15656,0,0,0,34,0,3997,"HSR Layout, Domlur, Johnson Market, Ulsoor, CLR, Indiranagara, Koramanagala,  Belandur","A.Narayanapura,AECS Layout,Ulsoor,Indiranagara","EAST, SOUTH EAST","E4,E7,S7","Additional South,East",,Mahadevapura,Hoodi,35.3,64.7,44.5,"5,270",186.50%,235.80%,"Munnekolala,Chinnappanahalli,Kundalahalli,Doddanekkundi,Sonnenahalli",195
86,Marathahalli,2,Mahadevapura,174,Mahadevapura,Bangalore Central,39768,3.1,11051,543,53,0,0,0,1,9987.51,0,0,6,1,0,10,0,1461,"Johnson Market, CLR, Koramanagala, Hombe Gowda nagar","A.Narayanapura,AECS Layout,Koramangala,Ulsoor","EAST, SOUTH EAST","S3,S7",Additional South,HAL,Mahadevapura,Maarathahalli,19.7,38.8,67.9,"12,679",76.80%,107.30%,,191
87,HAL Airport,2,Mahadevapura,151,K.R. Puram,Bangalore North,39926,6.8,10044,345,41,1,0,0,11,71105.52,0,0,3,1,0,26,0,2455,"Sudhama Nagar, Johnson Market, CLR, Hombe Gowda nagar","A.Narayanapura,Ulsoor,Indiranagara","EAST, SOUTH EAST","E6,S3,S7","Additional South,East",HAL,K.R.Puram,HAL. Airport,36.6,36,46.6,"5,888",20.70%,35.20%,,150
88,Jeevanbhima Nagar,7,East,161,C.V. Ramannagar (SC),Bangalore Central,38251,1.9,9741,517,47,0,0,0,7,21565.77,0,0,4,0,0,16,0,1618,"Ulsoor, Indiranagara ","Ulsoor,Indiranagara",SOUTH EAST,"E6,S3,S7","Additional South,East",,C.V.Raman Nagar,Jeevanbheema Nagar,6.1,92.7,88,"20,286",5.80%,17.50%,,145
89,Jogupalya,7,East,163,Shanthi Nagar,Bangalore Central,33793,0.9,8806,436,30,1,0,0,3,4910.3,4,26657,0,1,0,2,0,2501,"Bannapa Park, CLB-2, CLB-1,","Ulsoor,Indiranagara",SOUTH EAST,"E3,E6",East,Halasuru Gate,Shanti Nagar,Dommalooru,2.6,98.7,93.5,"37,452",-2.40%,8.40%,,68
90,Halsoor,7,East,162,Shivaji Nagar,Bangalore Central,35090,1.7,7771,402,34,1,1,438884,9,75990.61,1,2142,4,0,0,9,0,2576,"CLB-2, JJ Nagar, Magadi Road, ","HGR,Ulsoor,Indiranagara","CENTRAL, SOUTH EAST","E1,E2,E3","Additional East,East",,Shivaji Nagar,Shivaji Nagar,0.3,97.2,98.4,"20,803",-2.20%,10.10%,Ulsoor,257
91,Bharathi Nagar,7,East,162,Shivaji Nagar,Bangalore Central,32689,0.8,7074,362,30,1,0,0,2,3610.27,0,0,2,1,0,5,0,1659,"Rajaji Nagar, Agrahara Dasarahalli, JJ Nagar, Magadi Road",HGR,CENTRAL,"E1,E2",Additional East,Bharathi Nagar,Shivaji Nagar,Shivaji Nagar,0.5,98,96.9,"41,815",0.20%,13.40%,,191
92,Shivaji Nagar,7,East,162,Shivaji Nagar,Bangalore Central,37506,0.4,7276,313,22,1,0,0,1,702.84,0,0,3,1,0,2,0,1631,"Malleshwarm, Kumara Park",HGR,CENTRAL,"E1,E2",Additional East,Shivaji Nagar,Shivaji Nagar,Shivaji Nagar,0.2,96,96.7,"87,856",4.90%,22.00%,,30
93,Vasanth Nagar,7,East,162,Shivaji Nagar,Bangalore Central,22815,3.1,5304,816,47,1,0,0,12,555682.41,5,19944,7,1,1,31,0,1595,"LLR, CLB-2, CLB-1, Kumara Park","Chicklalbagh,HGR,Malleshwaram","CENTRAL, NORTH-EAST","C2,E1,E2,W4","Additional East,West,Central",High Grounds,Shivaji Nagar,Vasanth Nagar,0.5,97.8,95.4,"7,286",-11.00%,-3.40%,,507
94,Gandhi Nagar,5,West,164,Gandhi Nagar,Bangalore Central,31208,1.9,6599,774,38,2,0,0,18,137209.8,5,53516,6,2,0,16,0,1909,"LLR, CLB-2, Bhashyam Park, Malleshwarm, Srirampura, Kumara Park, JJ Nagar, Magadi Road","Chicklalbagh,Malleshwaram","CENTRAL, NORTH-EAST","C2,W4","Central,West","Upperpet, Seshadripuram",Gandhi Nagar,Gandhi Nagar,1.6,86.7,90.5,"16,334",-11.60%,-3.90%,,969
95,Subhash Nagar,5,West,164,Gandhi Nagar,Bangalore Central,37693,1.3,8711,154,27,1,0,0,6,40208.26,1,15784,3,0,0,13,0,1191,"Bhashyam Park, Rajaji Nagar, Magadi Road","Chicklalbagh,V V Puram,Malleshwaram,R P C Layout","CENTRAL, SOUTH-WEST, WEST, NORTH-EAST, NORTH-EAST","C1,C2,W3,W4","Central,West",,Gandhi Nagar,Gandhi Nagar,2.8,87.3,92.8,"28,599",6.40%,21.50%,,496
96,Okalipuram,5,West,164,Gandhi Nagar,Bangalore Central,38110,0.8,8693,377,21,1,0,0,4,17544.52,1,1927,3,0,0,9,0,1433,"WCR-I, Agrahara Dasarahalli, Kamakshipalya, WCR-II (Kamalanagara)","Malleshwaram.Rajaji Nagar,R P C Layout","NORTH-WEST, WEST, NORTH-EAST","C1,N1,W3,W4","Central,North,West",,Gandhi Nagar,Gandhi Nagar,0.6,95,91.4,"46,279",6.20%,16.70%,,259
97,Dayananda Nagar,5,West,165,Rajaji Nagar,Bangalore Central,35721,0.4,8253,288,20,1,0,0,2,1577.1,3,9090,3,0,0,7,0,1162,"Kamakshipalya, WCR-II (Kamalanagara),Kamakshipalya, Vijaya Nagar OHT","Rajaji Nagar,Malleshwaram.","NORTH-WEST, NORTH-EAST",C1,Central,,Rajajinagar,Srirama Mandir,1.4,94,94.5,"80,035",3.30%,14.50%,,13
98,Prakash Nagar,5,West,165,Rajaji Nagar,Bangalore Central,32913,0.6,8276,475,20,0,0,0,2,46826.65,1,2886,4,0,0,4,0,904,"Rajaji Nagar, WCR-I, Agrahara Dasarahalli","Malleshwaram,Rajaji Nagar","NORTH-WEST, NORTH-EAST","C1,N1","Central,North",,Rajajinagar,Srirama Mandir,2.1,99.6,96,"57,730",-7.20%,1.20%,,136
99,Rajaji Nagar,5,West,165,Rajaji Nagar,Bangalore Central,33084,0.9,8398,553,27,1,0,0,8,19480.05,2,8346,1,1,0,13,0,1367,"WCR-I,  Rajaji Nagar, Agrahara Dasarahalli, Magadi Road","Basaveshwara Nagar,Rajaji Nagar.",NORTH-WEST,"N1,N3,N7","Additional North,North",Rajaji Nagar,Rajajinagar,Rajajinagar,0.7,98,97.1,"38,388",-0.40%,11.10%,,118
100,Basaveshwara Nagar,5,West,165,Rajaji Nagar,Bangalore Central,30333,0.8,7495,488,26,0,1,62606,3,21279.54,5,26494,1,0,0,8,0,1155,"Bhashyam Park,  Rajaji Nagar,",Basaveshwara Nagar.,NORTH-WEST,N3,North,,Rajajinagar,Rajajinagar,3.7,98.3,87.5,"36,191",12.30%,21.90%,Sane guruvanahalli,39
101,Kamakshipalya,5,West,165,Rajaji Nagar,Bangalore Central,30051,0.9,7482,376,28,1,1,11822,5,20814.83,2,10491,2,1,0,15,0,1561,"Bhashyam Park, Srirampura,  Rajaji Nagar ","Basaveshwara Nagar,Nagarabhavi (Ring Road)","NORTH-WEST, WEST","N2,N3,N6",North,Kamakshipalya,Rajajinagar,Rajajinagar,1.3,99.6,96.5,"33,135",16.70%,27.90%,Kamakshi Palya,190
102,Vrisahbhavathi Nagar,5,West,156,Mahalakshmi Layout,Bangalore North,50893,1,13443,350,40,1,0,0,2,3853.89,1,894,3,0,0,2,0,1163,"Rajaji Nagar, WCR-I","Basaveshwara Nagar,Peenya,Nagarabhavi (Ring Road)","NORTH-WEST, WEST","N2,N3,N6",North,,Mahalakshmi Layout,Naagapura,1,99.1,95.7,"51,187",48.20%,63.70%,,166
103,Kaveripura,6,South,166,Govindaraja Nagar,Bangalore South,53532,1.7,14168,474,48,1,1,23481,10,38257.51,1,676,2,0,0,8,0,1971,"Chandra Layout,  Moodala Playa,  Nagarabhavi,  Vijaya Nagar OHT",Nagarabhavi (Ring Road),WEST,"N2,N6",North,,Govindaraj Nagar,Govindaraj Nagar,1,99.2,95,"32,357",51.80%,62.90%,Malagala,201
104,Govindaraja Nagar,6,South,166,Govindaraja Nagar,Bangalore South,26873,0.8,6678,393,26,2,0,0,10,18191.33,6,20865,1,0,0,7,0,1067,"Hosahalli, Chandra Layout , Vijaya Nagar OHT","R P C Layout,Nagarabhavi (Ring Road)",WEST,N2,North,,Govindaraj Nagar,Govindaraj Nagar,2.9,99.5,95.9,"34,956",4.30%,13.80%,,259
105,Agrahara Dasarahalli,6,South,166,Govindaraja Nagar,Bangalore South,28355,0.8,7192,453,28,1,0,0,9,27897.08,0,0,1,1,0,8,0,1381,"Agrahara Dasarahalli, Kamakshipalya, Hosahalli, Vijaya Nagar OHT","Basaveshwara Nagar,R P C Layout,Nagarabhavi (Ring Road)","NORTH-WEST, WEST","N2,N3",North,Basaveshwara Nagar,Govindaraj Nagar,Govindaraj Nagar,2.5,96.5,95.2,"35,597",5.60%,15.30%,,253
106,Dr.Raj Kumar Ward,6,South,166,Govindaraja Nagar,Bangalore South,24181,1,6077,524,30,1,0,0,17,52755.86,2,9693,1,0,1,12,0,1475,"Rajaji Nagar, Agrahara Dasarahalli,  Magadi Road, Hosahalli, Vijaya Nagar OHT","Basaveshwara Nagar,Rajaji Nagar,R P C Layout,Nagarabhavi (Ring Road)","NORTH-WEST, WEST","N1,N2,N3",North,,Govindaraj Nagar,Govindaraj Nagar,1.1,98.3,96,"24,492",-2.30%,6.50%,,246
107,Shiva Nagar,5,West,165,Rajaji Nagar,Bangalore Central,36461,0.8,9260,583,28,1,0,0,4,14886.63,3,5135,1,0,0,16,0,1035,"Hosahalli,Chandra Layout,  Vijaya Nagar OHT ","Basaveshwara Nagar,Rajaji Nagar",NORTH-WEST,"N1,N3",North,,Rajajinagar,Rajajinagar,2.6,98.9,95.4,"46,943",1.30%,8.60%,,74
108,Sri Rama Mandir Ward,5,West,165,Rajaji Nagar,Bangalore Central,33866,1.1,8156,856,33,1,0,0,11,25237.43,4,15345,4,0,0,9,0,2032,"Chandra Layout,Moodala Playa, ","Basaveshwara Nagar,Rajaji Nagar,R P C Layout","NORTH-WEST, WEST","C1,N1,W3","Central,North,West",,Rajajinagar,Srirama Mandir,1.7,99.6,97.9,"31,973",0.80%,9.70%,,128
109,Chickpete,5,West,164,Gandhi Nagar,Bangalore Central,33292,0.7,6842,2113,38,1,0,0,0,0,0,0,2,1,0,1,0,1030,"Chandra Layout, Moodala Playa, Nagarabhavi",Chicklalbagh,CENTRAL,"W3,W4,W5",West,Chickpet,Gandhi Nagar,Chikpet,5.6,97.2,90.3,"46,929",-1.20%,10.60%,,269
110,Sampangiram Nagar,7,East,162,Shivaji Nagar,Bangalore Central,27504,4.4,6423,865,58,0,0,0,10,816445.8,3,119431,6,6,0,89,0,2018,"Chandra Layout, Ideal Homes Layout","Chicklalbagh,HGR,Ulsoor","CENTRAL, SOUTH EAST","E2,E3,S2,W4,W5","East,South,West,Additional East","SR Nagar, Halasuru Gate, Cubbon Park, MS Building, Commercial Steet, Bowring Hospital",Shivaji Nagar,Vasanth Nagar,2.5,99.1,91.5,"6,185",-17.00%,-7.40%,,1197
111,Shantala Nagar,7,East,163,Shanthi Nagar,Bangalore Central,22995,4,5493,1229,61,1,0,0,12,265578.87,9,276291,1,1,1,55,0,1547,"JJ Nagar, Magadi Road","Chicklalbagh,HGR,Ulsoor","CENTRAL, SOUTH EAST","E2,E3,S2,S3","Additional East,East,South,Additional South",Ashok Nagar,Shanti Nagar,Shanti Nagar,0.5,96.9,95.9,"5,745",-23.90%,-13.90%,,516
112,Domlur,7,East,163,Shanthi Nagar,Bangalore Central,30638,1.7,7844,908,51,1,0,0,43,104809.89,1,8426,3,0,0,16,1,1971,"Magadi Road, Hosahalli, Chandra Layout, Vijaya Nagar OHT","Ulsoor,Indiranagara","SOUTH EAST, SOUTH EAST","E3,E6,S3","Additional South,East",,Shanti Nagar,Dommalooru,5.8,94.6,86.8,"17,557",-11.70%,-4.30%,,157
113,Konena Agrahara,7,East,161,C.V. Ramannagar (SC),Bangalore Central,38108,2.1,10725,515,47,1,1,34340,7,485242.71,2,11604,2,0,0,9,0,2373,"JJ Nagar, Magadi Road,  Hosahalli, Chandra Layout","Ulsoor,Indiranagara",SOUTH EAST,"E6,S3,S7","Additional South,East",,C.V.Raman Nagar,Jeevanbheema Nagar,6.3,90.2,90.1,"17,919",29.90%,48.00%,Konena agrahara,133
114,Agaram,7,East,163,Shanthi Nagar,Bangalore Central,36916,11,7734,411,35,1,0,0,7,20401.37,1,4182,3,0,0,22,0,1109,"Hosahalli, Moodala Playa, Chandra Layout ","Koramangala,Ulsoor,Indiranagara,Kodichikkanahalli","SOUTH EAST, SOUTH EAST, SOUTH","E3,E6,S11,S3,S4,TANK","Additional South,East,H.S.R.Layout,TANK",,Shanti Nagar,Dommalooru,7.2,79.6,87.6,"3,345",3.60%,12.10%,,506
115,Vannar Pet,7,East,163,Shanthi Nagar,Bangalore Central,37060,0.8,8466,289,30,1,0,0,16,37818.75,4,21981,1,1,0,13,0,962,"Mysore Road, Hosahalli,  Chandra Layout","Koramangala,Ulsoor",SOUTH EAST,"S3,S4",Additional South,Viveka Nagar,Shanti Nagar,Dommalooru,1.5,79.4,96.5,"48,898",4.30%,12.50%,,42
116,Nilasandra,7,East,163,Shanthi Nagar,Bangalore Central,48534,0.5,10743,231,30,1,0,0,0,0,0,0,7,0,0,3,0,987,"Chamarajpet, JJ Nagar, Mysore Road, Hosahalli","Koramangala,Ulsoor,Jayanagar 4th Block","SOUTH EAST, SOUTH EAST, SOUTH-WEST","S3,S4",Additional South,,Shanti Nagar,Shanti Nagar,2.6,88.5,91,"94,287",33.80%,46.00%,,21
117,Shanthi Nagar,7,East,163,Shanthi Nagar,Bangalore Central,42095,2.7,9465,665,43,1,0,0,3,25979.14,2,13867,2,0,0,21,1,1137,"Chamarajpet, Nagendra Block,  Mysore Road, Chandra Layout","Chicklalbagh,Ulsoor,Jayanagar 4th Block","CENTRAL, SOUTH EAST, SOUTH-WEST","E3,S2,S3,S4","Additional South,East,South",,Shanti Nagar,Shanti Nagar,0.6,93.9,96.8,"15,494",15.60%,24.30%,,248
118,Sudham Nagar,6,South,169,Chickpet,Bangalore South,28784,1,5953,461,30,1,0,0,4,11278.72,0,0,4,1,0,7,0,1435,"Hosakerehalli, Girinagara, Nagendra Block, Mysore Road, Chandra Layout, Ideal Homes Layout","Chicklalbagh,Ulsoor,V V Puram,Jayanagar 4th Block","CENTRAL, SOUTH EAST, SOUTH-WEST","S2,W2,W5","Additional West,South,West",Kalasipalyam,Chikpete,Kempegowda Nagar,2.8,59.8,85.3,"28,586",-10.60%,0.30%,,575
119,Dharmaraya Swamy Temple,6,South,169,Chickpet,Bangalore South,27076,1.1,5485,1225,41,1,0,0,5,28726.3,0,0,1,1,0,16,0,1731,"JJ Nagar, Mysore Road,  Hosahalli","Chicklalbagh,V V Puram","CENTRAL, SOUTH-WEST","W2,W4,W5","Additional West,West",Silver Jubilee Park,Chikpete,Kempegowda Nagar,3.2,99,93.7,"24,561",-18.40%,-11.10%,,1061
120,Cottonpete,5,West,164,Gandhi Nagar,Bangalore Central,37344,0.8,8652,477,26,1,0,0,4,20489.1,0,0,2,1,0,3,0,972,"Chamarajpet, JJ Nagar, Mysore Road","Chicklalbagh,V V Puram,R P C Layout","CENTRAL, SOUTH-WEST, WEST","W3,W4,W5",West,Cottonpete,Gandhi Nagar,Chikpet,4,94.9,92.5,"49,463",2.10%,14.00%,,203
121,Binni Pete,5,West,164,Gandhi Nagar,Bangalore Central,37354,0.8,9061,431,27,1,0,0,2,3678.16,1,5237,1,2,0,6,0,698,"JJ Nagar, Magadi Road,  Hosahalli","V V Puram,Basaveshwara Nagar,Rajaji Nagar,R P C Layout","SOUTH-WEST, NORTH-WEST, WEST","N1,W3","North,West","KP Agrahara, Magadi Road",Gandhi Nagar,Chikpet,0.9,98.2,97.1,"48,081",10.00%,24.20%,,173
